price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type,price_crore
19500000,ready to move,1550,12580,2 bhk apartment in puri emerald bay,sector 104,corvous india infratech pvt ltd,FALSE,2,puri emerald bay,puri,apartment,0.0195
11000000,under construction,1190,9243,2 bhk apartment in signature global city 92 2,sector 92,urbankasa,TRUE,2,signature global city 92 2,signature,apartment,0.011
9900000,ready to move,1366,7247,2 bhk apartment in m3m woodshire,sector 107,yoga reality,FALSE,2,m3m woodshire,m3m,apartment,0.0099
11500000,ready to move,1470,7823,3 bhk apartment in bptp park generation,sector 37d,home,FALSE,3,bptp park generation,bptp,apartment,0.0115
43000000,ready to move,2720,15808,4 bhk apartment in godrej meridien,sector 106,property in gurgaon,FALSE,4,godrej meridien,godrej,apartment,0.043
19000000,ready to move,2361,8047,3 bhk apartment in m3m woodshire,sector 107,properties for sale in gurgaon,FALSE,3,m3m woodshire,m3m,apartment,0.019
49000000,ready to move,6300,7777,4 bhk independent floor in ansal esencia,sector 67,sagar,FALSE,4,ansal esencia,ansal,floor,0.049
35000000,ready to move,1350,25925,3 bhk villa in eros rosewood villas,sector 49,bhoomi realtors,FALSE,3,eros rosewood villas,eros,villa,0.035
120000000,ready to move,6500,18461,5 bhk villa in tata raisina residency,sector 59,bhoomi realtors,FALSE,5,tata rais,tata,villa,0.12
22500000,ready to move,2660,8458,3 bhk apartment in bestech park view grand spa,sector 81,nayra realtors,FALSE,3,bestech park view grand spa,bestech,apartment,0.0225
17000000,ready to move,1825,9315,3 bhk apartment in godrej icon,sector 88a,nayra realtors,FALSE,3,godrej icon,godrej,apartment,0.017
31000000,ready to move,3185,9733,4 bhk apartment in bestech park view grand spa,sector 81,keshri real tech,FALSE,4,bestech park view grand spa,bestech,apartment,0.031
14500000,ready to move,1572,9223,3 bhk apartment in godrej 101,sector 79,sagar,FALSE,3,godrej 101,godrej,apartment,0.0145
15000000,ready to move,1741,8615,2 bhk apartment in ss the leaf,sector 85,sagar,FALSE,2,ss the leaf,ss,apartment,0.015
35000000,ready to move,2000,17500,3 bhk apartment in pioneer park ph 1,sector 61,sagar,FALSE,3,pioneer park ph 1,pioneer,apartment,0.035
32500000,ready to move,3470,9368,3 bhk apartment in bestech park view grand spa,sector 81,sagar,FALSE,3,bestech park view grand spa,bestech,apartment,0.0325
18000000,ready to move,1760,10227,3 bhk apartment in paras dews,sector 106,sagar,FALSE,3,paras dews,paras,apartment,0.018
30000000,ready to move,2018,14866,3 bhk apartment in m3m skycity,sector 65,angel bricks,FALSE,3,m3m skycity,m3m,apartment,0.03
42500000,ready to move,2700,15740,3 bhk apartment in adani brahma samsara vilasa,sector 63,sagar,FALSE,3,adani brahma samsara vilasa,adani,apartment,0.0425
135000000,ready to move,4670,28907,4 bhk apartment in pioneer araya,sector 62,sagar,FALSE,4,pioneer araya,pioneer,apartment,0.135
26000000,ready to move,1800,14444,3 bhk independent floor in anant raj the estate floors,sector 63,angel bricks,FALSE,3,anant raj the estate floors,anant,floor,0.026
18500000,ready to move,1836,10076,3 bhk independent floor in reputed builder sushant lok 3,sector 57,angel bricks,FALSE,3,reputed builder sushant lok 3,reputed,floor,0.0185
66000000,under construction,3416,19320,4 bhk apartment in godrej aristocrat,sector 49,sam realtors,TRUE,4,godrej aristocrat,godrej,apartment,0.066
3000000,ready to move,450,6666,1 bhk apartment in gls avenue 51,sector 92,home,FALSE,1,gls avenue 51,gls,apartment,0.003
45000000,under construction,4500,10000,4 bhk independent floor in uppal southend,sector 49,property in gurgaon,TRUE,4,uppal southend,uppal,floor,0.045
